-200.00	 0.065680 
-199.00	 0.065679 
-198.00	 0.065678 
-197.00	 0.065678 
-196.00	 0.065678 
-195.00	 0.065678 
-194.00	 0.065678 
-193.00	 0.065678 
-192.00	 0.065679 
-191.00	 0.065680 
-190.00	 0.065680 
-189.00	 0.065681 
-188.00	 0.065681 
-187.00	 0.065682 
-186.00	 0.065682 
-185.00	 0.065682 
-184.00	 0.065682 
-183.00	 0.065682 
-182.00	 0.065682 
-181.00	 0.065682 
-180.00	 0.065683 
-179.00	 0.065684 
-178.00	 0.065684 
-177.00	 0.065684 
-176.00	 0.065684 
-175.00	 0.065684 
-174.00	 0.065684 
-173.00	 0.065685 
-172.00	 0.065683 
-171.00	 0.065685 
-170.00	 0.065685 
-169.00	 0.065685 
-168.00	 0.065685 
-167.00	 0.065686 
-166.00	 0.065686 
-165.00	 0.065686 
-164.00	 0.065687 
-163.00	 0.065688 
-162.00	 0.065688 
-161.00	 0.065689 
-160.00	 0.065689 
-159.00	 0.065690 
-158.00	 0.065690 
-157.00	 0.065691 
-156.00	 0.065691 
-155.00	 0.065692 
-154.00	 0.065692 
-153.00	 0.065693 
-152.00	 0.065693 
-151.00	 0.065694 
-150.00	 0.065694 
-149.00	 0.065695 
-148.00	 0.065695 
-147.00	 0.065696 
-146.00	 0.065697 
-145.00	 0.065697 
-144.00	 0.065698 
-143.00	 0.065698 
-142.00	 0.065699 
-141.00	 0.065699 
-140.00	 0.065700 
-139.00	 0.065700 
-138.00	 0.065702 
-137.00	 0.065703 
-136.00	 0.065703 
-135.00	 0.065703 
-134.00	 0.065704 
-133.00	 0.065705 
-132.00	 0.065706 
-131.00	 0.065705 
-130.00	 0.065706 
-129.00	 0.065705 
-128.00	 0.065706 
-127.00	 0.065707 
-126.00	 0.065707 
-125.00	 0.065708 
-124.00	 0.065709 
-123.00	 0.065709 
-122.00	 0.065710 
-121.00	 0.065709 
-120.00	 0.065709 
-119.00	 0.065710 
-118.00	 0.065710 
-117.00	 0.065710 
-116.00	 0.065710 
-115.00	 0.065711 
-114.00	 0.065711 
-113.00	 0.065712 
-112.00	 0.065712 
-111.00	 0.065713 
-110.00	 0.065715 
-109.00	 0.065716 
-108.00	 0.065717 
-107.00	 0.065717 
-106.00	 0.065717 
-105.00	 0.065718 
-104.00	 0.065717 
-103.00	 0.065718 
-102.00	 0.065720 
-101.00	 0.065721 
-100.00	 0.065721 
-99.00	 0.065722 
-98.00	 0.065723 
-97.00	 0.065724 
-96.00	 0.065725 
-95.00	 0.065725 
-94.00	 0.065725 
-93.00	 0.065725 
-92.00	 0.065726 
-91.00	 0.065726 
-90.00	 0.065727 
-89.00	 0.065728 
-88.00	 0.065728 
-87.00	 0.065729 
-86.00	 0.065729 
-85.00	 0.065730 
-84.00	 0.065731 
-83.00	 0.065732 
-82.00	 0.065732 
-81.00	 0.065733 
-80.00	 0.065734 
-79.00	 0.065735 
-78.00	 0.065736 
-77.00	 0.065737 
-76.00	 0.065736 
-75.00	 0.065736 
-74.00	 0.065736 
-73.00	 0.065737 
-72.00	 0.065738 
-71.00	 0.065739 
-70.00	 0.065739 
-69.00	 0.065740 
-68.00	 0.065741 
-67.00	 0.065741 
-66.00	 0.065741 
-65.00	 0.065741 
-64.00	 0.065742 
-63.00	 0.065743 
-62.00	 0.065744 
-61.00	 0.065745 
